trigger,step,loss,clean_loss,backdoor_loss
AT1,0012100,0.0784,0.0866,0.0058
AT1,0012200,0.0784,0.0865,0.0062
AT1,0012300,0.0783,0.0865,0.0061
AT1,0012400,0.0787,0.0867,0.0066
AT1,0012500,0.0782,0.0866,0.0057
AT1,0012600,0.0786,0.0866,0.0059
AT1,0012700,0.0787,0.0869,0.0058
AT1,0012800,0.0780,0.0863,0.0057
AT1,0012900,0.0788,0.0867,0.0066
AT1,0013000,0.0788,0.0869,0.0057
AT1,0013100,0.0788,0.0869,0.0059
AT1,0013200,0.0785,0.0867,0.0060
AT1,0013300,0.0788,0.0871,0.0065
AT1,0013400,0.0784,0.0865,0.0061
AT1,0013500,0.0788,0.0868,0.0058
AT1,0013600,0.0787,0.0869,0.0058
AT1,0013700,0.0790,0.0871,0.0055
AT1,0013800,0.0789,0.0873,0.0055
AT1,0013900,0.0786,0.0870,0.0055
AT1,0014000,0.0787,0.0866,0.0056
AT1,0014100,0.0783,0.0866,0.0054
AT1,0014200,0.0785,0.0864,0.0059
AT1,0014300,0.0784,0.0864,0.0060
AT1,0014400,0.0788,0.0867,0.0057
AT1,0014500,0.0784,0.0866,0.0062
AT1,0014600,0.0783,0.0865,0.0055
AT1,0014700,0.0780,0.0862,0.0053
AT1,0014800,0.0788,0.0869,0.0053
AT1,0014900,0.0784,0.0865,0.0058
AT1,0015000,0.0786,0.0867,0.0052
AT2,0000100,0.1275,0.0905,0.4615
AT2,0000200,0.1114,0.0886,0.3212
AT2,0000300,0.0947,0.0878,0.1562
AT2,0000400,0.0918,0.0882,0.1229
AT2,0000500,0.0891,0.0878,0.1013
AT2,0000600,0.0884,0.0881,0.0908
AT2,0000700,0.0864,0.0875,0.0752
AT2,0000800,0.0861,0.0883,0.0665
AT2,0000900,0.0853,0.0880,0.0614
AT2,0001000,0.0843,0.0878,0.0534
AT2,0001100,0.0836,0.0874,0.0495
AT2,0001200,0.0832,0.0873,0.0461
AT2,0001300,0.0831,0.0877,0.0411
AT2,0001400,0.0827,0.0876,0.0378
AT2,0001500,0.0827,0.0879,0.0354
AT2,0001600,0.0820,0.0874,0.0327
AT2,0001700,0.0817,0.0875,0.0315
AT2,0001800,0.0820,0.0882,0.0271
AT2,0001900,0.0816,0.0879,0.0255
AT2,0002000,0.0809,0.0873,0.0232
AT2,0002100,0.0816,0.0879,0.0233
AT2,0002200,0.0810,0.0876,0.0210
AT2,0002300,0.0809,0.0875,0.0213
AT2,0002400,0.0810,0.0878,0.0195
AT2,0002500,0.0809,0.0881,0.0182
AT2,0002600,0.0804,0.0875,0.0177
AT2,0002700,0.0806,0.0876,0.0173
AT2,0002800,0.0802,0.0872,0.0167
AT2,0002900,0.0806,0.0877,0.0174
AT2,0003000,0.0806,0.0878,0.0167
AT2,0003100,0.0799,0.0871,0.0149
AT2,0003200,0.0808,0.0881,0.0154
AT2,0003300,0.0798,0.0873,0.0138
AT2,0003400,0.0805,0.0879,0.0142
AT2,0003500,0.0802,0.0877,0.0140
AT2,0003600,0.0802,0.0878,0.0132
AT2,0003700,0.0800,0.0875,0.0134
AT2,0003800,0.0800,0.0875,0.0131
AT2,0003900,0.0804,0.0878,0.0147
AT2,0004000,0.0795,0.0868,0.0118
AT2,0004100,0.0794,0.0869,0.0128
AT2,0004200,0.0796,0.0872,0.0121
AT2,0004300,0.0794,0.0872,0.0112
AT2,0004400,0.0799,0.0874,0.0113
AT2,0004500,0.0801,0.0876,0.0111
AT2,0004600,0.0793,0.0869,0.0110
AT2,0004700,0.0788,0.0866,0.0106
AT2,0004800,0.0797,0.0874,0.0111
AT2,0004900,0.0795,0.0871,0.0112
AT2,0005000,0.0796,0.0872,0.0126
AT2,0005100,0.0799,0.0877,0.0099
AT2,0005200,0.0797,0.0874,0.0098
AT2,0005300,0.0795,0.0871,0.0102
AT2,0005400,0.0789,0.0867,0.0102
AT2,0005500,0.0794,0.0870,0.0102
AT2,0005600,0.0798,0.0877,0.0095
AT2,0005700,0.0801,0.0876,0.0102
AT2,0005800,0.0791,0.0867,0.0098
AT2,0005900,0.0794,0.0871,0.0100
AT2,0006000,0.0796,0.0874,0.0091
AT2,0006100,0.0800,0.0878,0.0090
AT2,0006200,0.0797,0.0874,0.0100
AT2,0006300,0.0795,0.0874,0.0091
AT2,0006400,0.0795,0.0875,0.0090
AT2,0006500,0.0793,0.0870,0.0096
AT2,0006600,0.0793,0.0874,0.0087
AT2,0006700,0.0793,0.0871,0.0092
AT2,0006800,0.0796,0.0874,0.0087
AT2,0006900,0.0787,0.0862,0.0098
AT2,0007000,0.0794,0.0872,0.0087
AT2,0007100,0.0794,0.0874,0.0085
AT2,0007200,0.0795,0.0871,0.0093
AT2,0007300,0.0795,0.0873,0.0081
AT2,0007400,0.0787,0.0869,0.0080
AT2,0007500,0.0788,0.0868,0.0078
AT2,0007600,0.0790,0.0869,0.0079
AT2,0007700,0.0792,0.0872,0.0078
AT2,0007800,0.0794,0.0873,0.0077
AT2,0007900,0.0790,0.0869,0.0081
AT2,0008000,0.0790,0.0867,0.0085
AT2,0008100,0.0793,0.0872,0.0077
AT2,0008200,0.0790,0.0868,0.0081
AT2,0008300,0.0792,0.0871,0.0087
AT2,0008400,0.0791,0.0868,0.0078
AT2,0008500,0.0787,0.0867,0.0075
AT2,0008600,0.0785,0.0865,0.0071
AT2,0008700,0.0792,0.0870,0.0075
AT2,0008800,0.0791,0.0870,0.0072
AT2,0008900,0.0789,0.0870,0.0073
AT2,0009000,0.0790,0.0870,0.0072
AT2,0009100,0.0791,0.0869,0.0075
AT2,0009200,0.0791,0.0870,0.0074
AT2,0009300,0.0784,0.0865,0.0071
AT2,0009400,0.0791,0.0868,0.0069
AT2,0009500,0.0791,0.0869,0.0082
AT2,0009600,0.0795,0.0875,0.0075
AT2,0009700,0.0794,0.0874,0.0070
AT2,0009800,0.0787,0.0867,0.0069
AT2,0009900,0.0793,0.0874,0.0073
AT2,0010000,0.0788,0.0868,0.0071
AT2,0010100,0.0787,0.0867,0.0071
AT2,0010200,0.0789,0.0868,0.0073
AT2,0010300,0.0784,0.0864,0.0069
AT2,0010400,0.0793,0.0872,0.0074
AT2,0010500,0.0787,0.0867,0.0076
AT2,0010600,0.0782,0.0863,0.0065
AT2,0010700,0.0785,0.0865,0.0064
AT2,0010800,0.0794,0.0871,0.0075
AT2,0010900,0.0793,0.0871,0.0078
