voltage_v,supplied_entries,mean_bit_flips,bit_flips_sd_over_sqrt_n,mean_asr_percent,across_chip_asr_sd_percentage_points,chip0_mean_asr_percent,chip1_mean_asr_percent,chip2_mean_asr_percent,chip3_mean_asr_percent,chip4_mean_asr_percent
0.5,10,13.5,2.2373098926066444,2.768,2.0814466123347963,0.53,0.53,3.61,4.6,4.57
0.51,10,5.9,0.5259911279353167,24.200000000000003,12.690569333170206,10.93,14.340000000000003,26.290000000000003,43.24000000000001,26.200000000000003
0.52,10,4.1,0.5467073155618908,54.04600000000001,11.814320970754098,37.260000000000005,52.03,56.800000000000004,70.32000000000001,53.82
0.53,10,4.8,0.5537749241945383,61.4,18.582167526959815,60.49,44.97,41.260000000000005,79.03999999999999,81.24
0.54,10,4.5,0.9219544457292888,44.7,10.679974250905287,42.96,34.08,40.02,62.529999999999994,43.91
0.55,10,5.9,1.1100550536897806,27.824,5.842116910846619,21.279999999999998,22.259999999999998,29.690000000000005,34.790000000000006,31.1
