voltage_v,supplied_entries,mean_bit_flips,sample_standard_deviation,standard_deviation_over_sqrt_n
0.5,10,13.5,7.074995092263708,2.2373098926066444
0.51,10,5.9,1.66332999331662,0.5259911279353167
0.52,10,4.1,1.728840330651992,0.5467073155618908
0.53,10,4.8,1.7511900715418263,0.5537749241945383
0.54,10,4.5,2.9154759474226504,0.9219544457292888
0.55,10,5.9,3.5103022978402048,1.1100550536897806
