model_group,model_count,fp32_fid,w8a32_fid,fp32_matched_mean_mse,fp32_matched_bsr_percent
Clean,1,12.408906869231146,12.339814882916755,,
AT,5,12.631078757396494,12.655899534953926,0.0020949630664195864,100.0
CT,5,12.773493104634076,12.79170137109072,0.0023513460562680846,99.97999999999999
